starting training
2024-06-01 00:05:09.444755: I external/local_xla/xla/service/service.cc:168] XLA service 0x7f8dc0d3e9d0 initialized for platform CUDA (this does not guarantee that XLA will be used). Devices:
2024-06-01 00:05:09.445001: I external/local_xla/xla/service/service.cc:176]   StreamExecutor device (0): NVIDIA RTX A4000, Compute Capability 8.6
2024-06-01 00:05:09.468620: I tensorflow/compiler/mlir/tensorflow/utils/dump_mlir_util.cc:269] disabling MLIR crash reproducer, set env var `MLIR_CRASH_REPRODUCER_DIRECTORY` to enable.
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1717200309.632330     297 device_compiler.h:186] Compiled cluster using XLA!  This line is logged at most once for the lifetime of the process.
Episode: 90/20000, steps: 50[4500], Total reward: -4.862330484390258[-2.4], time: 10.3s[13.3m], e: 0.9650193539869601
Episode: 91/20000, steps: 50[4550], Total reward: -1.0182183265686038[-1.9], time: 8.7s[13.5m], e: 0.9646333462453655
Episode: 92/20000, steps: 50[4600], Total reward: 4.402793574333195[-1.7], time: 7.4s[13.6m], e: 0.9642474929068674
Episode: 93/20000, steps: 50[4650], Total reward: 1.743378019332885[-1.4], time: 9.0s[13.7m], e: 0.9638617939097047
Episode: 94/20000, steps: 50[4700], Total reward: -6.988417449593544[-1.6], time: 9.5s[13.9m], e: 0.9634762491921409
Episode: 95/20000, steps: 50[4750], Total reward: 3.2981317043304443[-1.5], time: 10.8s[14.1m], e: 0.9630908586924641
Episode: 96/20000, steps: 50[4800], Total reward: 0.6060007572174074[-1.6], time: 8.5s[14.2m], e: 0.9627056223489872
Episode: 97/20000, steps: 50[4850], Total reward: -0.7973232746124268[-1.4], time: 9.0s[14.4m], e: 0.9623205401000476
Episode: 98/20000, steps: 50[4900], Total reward: 2.1558708429336546[-1.4], time: 9.2s[14.5m], e: 0.9619356118840077
Episode: 99/20000, steps: 50[4950], Total reward: -0.9781632661819454[-1.4], time: 11.5s[14.7m], e: 0.9615508376392541
Episode: 100/20000, steps: 50[5000], Total reward: -3.565794670581816[-1.0], time: 9.4s[14.9m], e: 0.9611662173041984
Episode: 101/20000, steps: 50[5050], Total reward: 1.2773954749107357[-1.1], time: 11.3s[15.1m], e: 0.9607817508172768
Episode: 102/20000, steps: 50[5100], Total reward: -0.9428451776504513[-0.8], time: 9.0s[15.2m], e: 0.9603974381169499
Episode: 103/20000, steps: 50[5150], Total reward: -0.7327114820480347[-0.7], time: 11.2s[15.4m], e: 0.9600132791417032
Episode: 104/20000, steps: 50[5200], Total reward: -2.0055170714855186[-0.8], time: 8.0s[15.5m], e: 0.9596292738300466
Episode: 105/20000, steps: 50[5250], Total reward: 0.13981742858886714[-0.5], time: 8.5s[15.7m], e: 0.9592454221205147
Episode: 106/20000, steps: 50[5300], Total reward: -0.170606112480163[-0.6], time: 10.8s[15.8m], e: 0.9588617239516665
Episode: 107/20000, steps: 50[5350], Total reward: -5.115741539001465[-0.8], time: 11.0s[16.0m], e: 0.9584781792620859
Episode: 108/20000, steps: 50[5400], Total reward: -0.9927631378173827[-0.6], time: 9.7s[16.2m], e: 0.9580947879903811
Episode: 109/20000, steps: 50[5450], Total reward: 1.964836907386779[-0.6], time: 9.2s[16.3m], e: 0.9577115500751849
Episode: 110/20000, steps: 50[5500], Total reward: -1.0053421020507798[-0.4], time: 12.2s[16.6m], e: 0.9573284654551549
Episode: 111/20000, steps: 50[5550], Total reward: 1.4724153995513924[-0.3], time: 9.4s[16.7m], e: 0.9569455340689729
Episode: 112/20000, steps: 50[5600], Total reward: -2.903203427791596[-0.7], time: 7.3s[16.8m], e: 0.9565627558553453
Episode: 113/20000, steps: 50[5650], Total reward: 0.693534278869629[-0.7], time: 9.6s[17.0m], e: 0.9561801307530032
Episode: 114/20000, steps: 50[5700], Total reward: -0.6420421123504642[-0.4], time: 7.6s[17.1m], e: 0.9557976587007021
Episode: 115/20000, steps: 50[5750], Total reward: -1.346837043762207[-0.6], time: 9.0s[17.3m], e: 0.9554153396372219
Episode: 116/20000, steps: 50[5800], Total reward: 1.4504724502563473[-0.6], time: 10.0s[17.4m], e: 0.9550331735013671
Episode: 117/20000, steps: 50[5850], Total reward: -2.0957761287689216[-0.7], time: 9.7s[17.6m], e: 0.9546511602319666
Episode: 118/20000, steps: 50[5900], Total reward: -1.971190190315247[-0.9], time: 9.0s[17.7m], e: 0.9542692997678739
Episode: 119/20000, steps: 50[5950], Total reward: -2.7194525241851806[-1.0], time: 9.6s[17.9m], e: 0.9538875920479668
Episode: 120/20000, steps: 50[6000], Total reward: 1.6007057189941416[-0.7], time: 7.9s[18.0m], e: 0.9535060370111477
Episode: 121/20000, steps: 50[6050], Total reward: -0.6858572840690611[-0.8], time: 9.5s[18.2m], e: 0.9531246345963432
Episode: 122/20000, steps: 50[6100], Total reward: 4.091999173164368[-0.5], time: 9.6s[18.4m], e: 0.9527433847425048
Episode: 123/20000, steps: 50[6150], Total reward: -2.0120766639709475[-0.6], time: 9.9s[18.5m], e: 0.9523622873886078
Episode: 124/20000, steps: 50[6200], Total reward: -3.3979717433452614[-0.7], time: 9.8s[18.7m], e: 0.9519813424736524
Episode: 125/20000, steps: 50[6250], Total reward: 2.2203544139862057[-0.6], time: 7.4s[18.8m], e: 0.951600549936663
Episode: 126/20000, steps: 50[6300], Total reward: -7.10029221773148[-0.9], time: 9.1s[19.0m], e: 0.9512199097166883
Episode: 127/20000, steps: 50[6350], Total reward: -7.4055591046810125[-1.0], time: 11.5s[19.1m], e: 0.9508394217528017
Episode: 128/20000, steps: 50[6400], Total reward: 2.0299867153167734[-0.9], time: 9.4s[19.3m], e: 0.9504590859841006
Episode: 129/20000, steps: 50[6450], Total reward: 0.7429011702537568[-0.9], time: 9.1s[19.5m], e: 0.9500789023497069
Episode: 130/20000, steps: 50[6500], Total reward: 0.9775113105773929[-0.9], time: 9.2s[19.6m], e: 0.9496988707887671
Episode: 131/20000, steps: 50[6550], Total reward: 1.3145109653472897[-0.9], time: 11.5s[19.8m], e: 0.9493189912404517
Episode: 132/20000, steps: 50[6600], Total reward: -4.267270326614378[-0.9], time: 7.8s[19.9m], e: 0.9489392636439555
Episode: 133/20000, steps: 50[6650], Total reward: 1.0562333106994632[-0.9], time: 6.9s[20.0m], e: 0.948559687938498
Episode: 134/20000, steps: 50[6700], Total reward: 1.2229356527328497[-0.8], time: 8.8s[20.2m], e: 0.9481802640633227
Episode: 135/20000, steps: 50[6750], Total reward: -2.750626599788666[-0.9], time: 8.9s[20.3m], e: 0.9478009919576974
Episode: 136/20000, steps: 50[6800], Total reward: -0.32899925112724276[-1.0], time: 7.8s[20.5m], e: 0.9474218715609144
Episode: 137/20000, steps: 50[6850], Total reward: 2.531261920928954[-0.7], time: 9.8s[20.6m], e: 0.9470429028122901
Episode: 138/20000, steps: 50[6900], Total reward: 1.8307843685150156[-0.6], time: 7.6s[20.8m], e: 0.9466640856511652
Episode: 139/20000, steps: 50[6950], Total reward: -0.898095703125[-0.5], time: 10.0s[20.9m], e: 0.9462854200169047
Episode: 140/20000, steps: 50[7000], Total reward: 2.536512136459351[-0.4], time: 9.6s[21.1m], e: 0.945906905848898
Episode: 141/20000, steps: 50[7050], Total reward: -0.9677921295166017[-0.4], time: 9.8s[21.3m], e: 0.9455285430865585
